Timestamp,Kp,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53
1/1/2023 0:00,2.333,-2.992956035,1.462301366,-0.496683487,19.71139416,0.231726,0.767861888,12.67267058,7.225457978,0.247733838,5.107813771,5.388115994,32.60317657,0.408946073,100.7296916,131.332514,124.2441447,117.9795408,234.7156145,239.3572123,272.1269609,243.2733743,406.7889665,370.0827095,295.8408101,370.6634749,425.4785475,367.3388156,395.815486,451.8990056,551.8191397,500.8824525,460.8653799,493.3348101,482.5583966,383.32,360.6267263,281.2988827,355.4490223,297.9951006,313.5543855,275.4321285,238.3886313,121.7601508,91.80211173,26.76669832,6.67022905,2.268234637,1.916195531,0,0,0,0,0
1/1/2023 3:00,3,-3.307633737,1.690573637,0.06859222,14.74501933,0.231726,0.367032911,3.152081467,5.508506567,0.245177356,0.702307222,2.225470533,33.80287828,0.360686383,90.351855,127.3734444,135.1627706,126.5575044,220.5032611,241.3197944,290.4003389,244.4193722,394.4584444,378.05675,310.4289167,366.1313389,417.7112111,390.16205,439.5490222,493.9847889,550.5378,495.5857889,438.8006667,449.5090278,444.6361722,356.9057944,326.5594889,245.7332667,333.7554667,296.2722167,321.7081556,165.3763944,137.8283889,61.46458889,32.28452778,15.74057222,4.314405556,0,0,0,0,0,0,0
1/1/2023 6:00,2,-3.494907509,0.819942477,-0.902655132,5.238091611,0.141610333,0.1432909,0.616090556,1.915051933,0.143193567,0.155986578,0.446575556,19.78775722,0.147595289,56.66325889,76.16653333,83.0405,81.20708111,135.1354667,145.4328333,179.2458,153.2247556,239.8843389,229.4730611,192.4551944,227.1098056,259.2476722,263.3183556,298.4599278,303.6635111,319.1943111,287.8602722,257.1934944,262.4279667,253.9004667,200.14635,185.2584667,140.9540889,199.0367389,176.7700944,183.3570222,41.11426667,29.98901667,11.13377222,4.201583333,0,0,0,0,0,0,0,0,0
1/1/2023 9:00,2.667,-3.172142456,1.257524722,1.414931512,8.2625455,0.221427067,0.264683633,1.302918767,1.92707755,0.221427067,0.375273439,0.670377333,28.57092972,0.242041283,85.55624222,116.3739222,126.3018072,123.2761233,206.1332722,223.5153444,279.5672778,241.9174,380.76305,364.5630333,304.7935222,362.1372833,417.8316667,432.5908222,476.7249778,478.5461,498.9655333,443.7471333,388.1704278,398.7665056,389.6852778,309.2064556,287.7966222,221.1319833,314.6042611,246.9730333,268.9846889,49.32858333,35.03230556,12.28391111,9.429861111,6.545416667,0,0,0,0,0,0,0,0
1/1/2023 12:00,1.667,-2.974086273,2.190696745,-0.234854291,14.05179811,0.2201397,0.2201397,0.916366433,5.782144056,0.2201397,0.237752622,1.24584025,43.19608111,0.349641822,88.08762167,131.9571222,152.8949222,136.1305278,212.9303889,246.9123611,296.5171611,230.9746,360.9091611,366.6086167,310.3082889,357.4349389,447.7388611,488.6017944,471.4226778,423.2409389,470.9231167,440.8190056,377.8805556,368.2612111,333.7843611,271.9100222,281.8362611,203.2675722,305.9635111,117.9293,126.9933722,42.20586111,29.32403333,1.635127778,0,0,0,0,0,0,0,0,0,0
1/1/2023 15:00,2.667,-1.937306004,3.093188961,-1.486474711,10.812184,0.231726,0.232224694,1.356581033,4.985019089,0.231726,0.329397639,1.807105117,42.40140167,0.542514811,98.76668389,139.28075,155.3638222,144.2204778,231.5261833,256.6648167,306.6463889,247.8661833,387.68115,385.6548056,332.5705167,402.3807333,485.3152056,490.7942333,487.6657444,467.1968556,503.1922556,448.8525833,377.3458722,381.5810889,357.6798,287.1069389,290.2259722,217.4185333,328.6366944,160.2771722,173.4013278,16.23948333,5.64095,0,0,0,0,0,0,0,0,0,0,0
1/1/2023 18:00,3.667,-0.440350868,2.047420512,-2.960751099,12.053775,0.231726,0.243391533,1.617448917,8.6583248,0.231726,0.596879344,3.755293989,48.67310278,2.011669922,104.6551328,146.2983611,165.97835,152.1858111,238.6041167,263.0374444,313.4655444,249.3532556,387.1139333,393.7978444,350.2826333,410.6929056,484.3621778,496.6375444,494.5522778,455.3995667,483.2569389,433.1834389,366.2563833,369.9709778,340.83425,276.40175,292.4380722,220.6726722,326.1048778,124.3749611,132.5410278,8.088088889,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023 21:00,4,-2.427292784,0.398896214,-2.521848735,7.766553333,0.128736667,0.142601572,0.442086089,8.505091778,0.132830472,0.530581533,1.936293239,37.39842111,4.507869956,55.95072389,83.70543889,107.8558278,89.66349444,128.10965,151.3299333,188.3043389,141.7952667,215.9326278,243.5017667,237.1768444,246.7043278,266.9535389,266.3378444,258.4192389,217.2209111,248.4588389,232.9690556,188.0948333,179.5271611,167.6800167,147.1921778,124.28755,89.45952222,125.6559611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023 0:00,2,-2.294805397,2.857048786,-0.232014401,13.09995239,0.231726,0.267897483,1.388054283,13.52905028,0.253701267,0.840099128,3.955702961,62.47613667,6.144551072,101.2606439,149.7927611,187.6892889,159.0953944,233.1465056,270.8365722,333.9015889,251.0435667,386.1265,429.5749722,422.9094167,451.4535778,488.8936778,475.5964667,459.4545611,389.1847833,450.1394333,420.7818667,339.4198278,325.9211389,304.7009556,263.5721556,245.7389167,170.2034722,219.93275,23.16757778,24.14691667,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023 3:00,2,-1.862570334,2.274494673,-0.139388143,11.122676,0.231726,0.25176655,1.443636789,12.65052133,0.239858578,0.487257728,3.037446394,63.48698111,6.828881294,98.01784056,147.5031111,190.7436167,159.0880556,228.51325,269.3557889,336.7260167,248.48745,379.6363722,427.6738889,423.0829444,441.2726778,480.5411389,481.3691722,467.5105778,387.1868833,445.0906167,417.5148556,333.8791778,319.5404722,304.6114889,267.7331556,209.8543444,150.5355889,186.5506056,30.96695556,31.64399444,1.548883333,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023 6:00,1,-2.823765649,1.768218045,0.873519745,4.963218556,0.213702867,0.224536694,0.691883633,13.30007006,0.244045133,0.430157267,2.371787517,64.85645889,11.32458323,82.96737333,129.9333,186.1478333,155.7655111,198.7118667,246.3292,329.9156333,239.7450556,346.6644444,419.0992333,458.6291667,440.5482722,418.9157167,404.8679833,410.3808556,326.6625944,394.1368889,373.5783944,276.2195444,252.6773278,260.7735389,249.3851,59.31454444,39.79791111,36.7392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023 9:00,1.667,0.900173072,-0.496586256,-1.911553508,5.577258667,0.213702867,0.291147289,1.099183311,10.251887,0.333273572,1.378437633,8.511499667,63.19006556,19.59706733,107.0550428,147.3482778,186.8697444,163.2272722,227.9319667,255.8258889,318.1260722,261.2101111,381.2482667,420.6007778,415.1658,441.1207944,454.5312722,404.8953111,385.0408611,315.5540389,378.753,355.9322278,294.1189944,279.9367722,272.7660611,232.1502278,153.8727333,105.7224389,5.349777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023 12:00,1.333,0.727544098,1.531552607,-0.732136039,4.486616778,0.2162776,0.325928778,1.197107128,17.19490544,0.560876856,3.246102444,7.920846289,79.230005,28.15548778,108.8900072,148.5214389,213.1505889,180.5645056,229.2857611,270.2847333,356.8395389,303.2453667,408.89945,466.2606111,458.6591889,416.4383944,391.8996222,373.5932944,390.15985,307.0730278,369.8402722,346.4060944,264.6127111,237.3403833,227.6630944,184.6257889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023 15:00,1.333,-1.867177972,1.402067407,0.065141455,7.406624556,0.231726,1.375849806,4.206873661,21.28130278,1.541549122,15.69538628,22.03095889,94.77603889,38.30172444,144.9863611,180.3212667,243.2220389,234.3543778,322.7146444,393.4829222,467.0845667,419.1924,465.6537056,455.1100722,400.2146944,392.8860667,399.5587167,358.5124278,370.6554222,269.7066556,354.9123444,306.0150389,189.4205389,99.88324444,69.37800556,16.29082222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023 18:00,2,1.347190929,0.536151396,-2.552425143,14.49349656,0.231726,1.6730057,8.240584772,25.63046889,1.79431955,14.75901453,26.93462333,102.1194139,37.24983722,144.0172833,195.35105,252.1693056,223.9621944,304.3122111,368.4087278,453.3986333,439.1714056,504.9753222,488.9129944,401.7515278,376.9874944,399.39935,391.8315222,392.6990611,272.5507333,354.6070056,345.2672167,285.5670889,217.1530778,123.0198056,10.45759444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2023 21:00,3,0.558736351,1.403698536,-1.244780705,7.205197444,0.1274493,0.870809067,3.655138983,13.75477556,2.068509456,8.226514611,13.70541778,56.89666444,21.86964556,80.40376111,106.3858833,142.6676833,132.8427944,179.5106722,224.8759556,271.90825,246.78495,260.3397222,246.1130611,207.9667889,206.3044167,219.5401722,207.2123278,205.40835,137.4389444,190.7343944,188.7592,153.7205778,34.24829444,8.039677778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
